insee_com,Année,nb_deces
01001,2018,9
01001,2019,6
01001,2020,7
01001,2021,5
01001,2022,5
01001,2023,7
01002,2018,1
01002,2019,3
01002,2021,4
01002,2022,1
01002,2023,1
01004,2018,120
01004,2019,158
01004,2020,148
01004,2021,131
01004,2022,138
01004,2023,139
01005,2018,12
01005,2019,3
01005,2020,14
01005,2021,9
01005,2022,10
01005,2023,13
01006,2018,1
01006,2019,1
01006,2020,1
01006,2022,2
01006,2023,4
01007,2018,22
01007,2019,12
01007,2020,13
01007,2021,12
01007,2022,26
01007,2023,20
01008,2018,2
01008,2019,1
01008,2020,5
01008,2021,6
01008,2022,6
01008,2023,5
01009,2018,3
01009,2019,2
01009,2020,1
01009,2021,6
01009,2022,5
01009,2023,1
01010,2018,7
01010,2019,10
01010,2020,4
01010,2021,8
01010,2022,6
01010,2023,7
01011,2018,2
01011,2019,1
01011,2020,2
01011,2021,5
01011,2022,5
01011,2023,1
01012,2018,5
01012,2019,10
01012,2020,5
01012,2021,9
01012,2022,4
01012,2023,4
01013,2018,1
01013,2019,1
01013,2020,3
01013,2021,1
01013,2022,2
01013,2023,2
01014,2018,27
01014,2019,15
01014,2020,29
01014,2021,30
01014,2022,23
01014,2023,31
01015,2018,5
01015,2019,8
01015,2020,14
01015,2021,8
01015,2022,3
01015,2023,8
01016,2018,4
01016,2019,2
01016,2020,6
01016,2021,5
01016,2022,4
01016,2023,4
01017,2018,6
01017,2019,3
01017,2020,5
01017,2021,6
01017,2022,5
01017,2023,8
01019,2018,1
01019,2020,1
01019,2021,1
01019,2022,1
01021,2018,8
01021,2019,9
01021,2020,6
01021,2021,5
01021,2022,6
01021,2023,10
01022,2018,18
01022,2019,12
01022,2020,12
01022,2021,15
01022,2022,15
01022,2023,16
01023,2021,1
01023,2023,1
01024,2018,8
01024,2019,19
01024,2020,18
01024,2021,17
01024,2022,19
01024,2023,22
01025,2018,16
01025,2019,25
01025,2020,27
01025,2021,23
01025,2022,22
01025,2023,26
01026,2018,19
01026,2019,21
01026,2020,11
01026,2021,16
01026,2022,15
01026,2023,17
01027,2018,3
01027,2019,7
01027,2020,8
01027,2021,12
01027,2022,8
01027,2023,10
01028,2018,1
01028,2019,6
01028,2020,6
01028,2021,5
01028,2022,2
01028,2023,1
01029,2018,7
01029,2019,6
01029,2020,5
01029,2021,6
01029,2022,8
01029,2023,3
01030,2018,5
01030,2019,2
01030,2020,4
01030,2021,5
01030,2022,8
01030,2023,5
01031,2018,23
01031,2019,15
01031,2020,22
01031,2021,30
01031,2022,34
01031,2023,22
01032,2018,32
01032,2019,18
01032,2020,50
01032,2021,40
01032,2022,27
01032,2023,40
01033,2018,115
01033,2019,115
01033,2020,188
01033,2021,115
01033,2022,108
01033,2023,147
01034,2018,118
01034,2019,117
01034,2020,166
01034,2021,117
01034,2022,144
01034,2023,132
01035,2018,1
01035,2019,4
01035,2020,2
01035,2021,3
01035,2022,1
01035,2023,2
01036,2018,4
01036,2019,8
01036,2020,17
01036,2021,16
01036,2022,12
01036,2023,18
01037,2018,4
01037,2019,1
01037,2020,3
01037,2021,6
01037,2022,1
01037,2023,4
01038,2018,3
01038,2019,5
01038,2020,4
01038,2021,8
01038,2022,3
01038,2023,5
01039,2018,2
01039,2019,3
01039,2020,3
01039,2021,3
01039,2022,2
01040,2018,2
01040,2019,1
01040,2020,4
01040,2021,1
01040,2022,4
01040,2023,2
01041,2018,4
01041,2019,4
01041,2020,9
01041,2021,4
01041,2022,8
01041,2023,4
01042,2018,2
01042,2019,4
01042,2021,3
01042,2022,1
01042,2023,4
01043,2018,27
01043,2019,33
01043,2020,25
01043,2021,17
01043,2022,26
01043,2023,33
01044,2018,1
01044,2019,2
01044,2020,3
01044,2021,2
01044,2022,4
01044,2023,3
01045,2018,3
01045,2019,2
01045,2020,2
01045,2021,3
01045,2022,1
01046,2018,2
01046,2019,5
01046,2020,6
01046,2021,4
01046,2022,10
01046,2023,2
01047,2018,4
01047,2019,3
01047,2020,4
01047,2021,3
01047,2022,5
01047,2023,6
01049,2018,19
01049,2019,16
01049,2020,16
01049,2021,9
01049,2022,20
01049,2023,20
01050,2018,4
01050,2019,2
01050,2020,3
01050,2021,2
01050,2022,2
01050,2023,7
01051,2018,2
01051,2019,1
01051,2020,1
01051,2022,1
01051,2023,3
01052,2018,1
01052,2019,1
01052,2020,2
01052,2021,3
01052,2022,2
01052,2023,5
01053,2018,486
01053,2019,467
01053,2020,509
01053,2021,444
01053,2022,486
01053,2023,450
01054,2018,8
01054,2019,6
01054,2020,2
01054,2021,6
01054,2022,10
01054,2023,5
01056,2018,4
01056,2019,3
01056,2020,4
01056,2021,5
01056,2022,3
01057,2018,3
01057,2019,5
01057,2020,5
01057,2021,5
01057,2022,3
01057,2023,4
01058,2018,4
01058,2019,9
01058,2020,8
01058,2021,7
01058,2022,7
01058,2023,3
01059,2018,1
01060,2018,9
01060,2019,6
01060,2020,6
01060,2021,4
01060,2022,9
01060,2023,5
01061,2018,7
01061,2019,5
01061,2020,8
01061,2021,6
01061,2022,6
01061,2023,7
01062,2018,5
01062,2019,1
01062,2020,6
01062,2021,3
01062,2022,3
01062,2023,5
01063,2018,2
01063,2019,7
01063,2020,2
01063,2021,6
01063,2022,3
01063,2023,6
01064,2018,4
01064,2019,7
01064,2020,6
01064,2021,5
01064,2022,4
01064,2023,5
01065,2018,7
01065,2019,8
01065,2020,9
01065,2021,11
01065,2022,18
01065,2023,12
01066,2018,2
01066,2019,1
01066,2021,1
01066,2022,1
01066,2023,1
01067,2018,3
01067,2019,1
01067,2020,4
01067,2021,2
01067,2022,2
01067,2023,1
01068,2018,13
01068,2019,15
01068,2020,16
01068,2021,26
01068,2022,14
01068,2023,14
01069,2018,5
01069,2019,8
01069,2020,9
01069,2021,4
01069,2022,8
01069,2023,11
01071,2018,14
01071,2019,9
01071,2020,14
01071,2021,15
01071,2022,14
01071,2023,13
01072,2018,32
01072,2019,36
01072,2020,36
01072,2021,51
01072,2022,39
01072,2023,33
01073,2018,9
01073,2019,10
01073,2020,7
01073,2021,4
01073,2022,10
01073,2023,8
01074,2018,30
01074,2019,38
01074,2020,41
01074,2021,31
01074,2022,30
01074,2023,25
01075,2018,6
01075,2019,9
01075,2020,4
01075,2021,7
01075,2022,7
01075,2023,4
01076,2018,3
01076,2019,2
01076,2020,1
01076,2021,3
01076,2022,1
01076,2023,1
01077,2019,3
01077,2020,1
01077,2021,3
01077,2022,1
01077,2023,1
01078,2018,21
01078,2019,13
01078,2020,28
01078,2021,16
01078,2022,23
01078,2023,18
01079,2018,26
01079,2019,38
01079,2020,22
01079,2021,17
01079,2022,27
01079,2023,19
01080,2018,7
01080,2019,3
01080,2020,5
01080,2021,1
01080,2022,5
01080,2023,6
01081,2018,5
01081,2019,7
01081,2020,9
01081,2021,5
01081,2022,7
01081,2023,4
01082,2018,5
01082,2019,3
01082,2020,5
01082,2021,4
01082,2022,2
01082,2023,1
01083,2018,5
01083,2019,3
01083,2020,6
01083,2021,4
01083,2022,6
01083,2023,5
01084,2018,3
01084,2019,3
01084,2020,3
01084,2021,8
01084,2022,4
01084,2023,4
01085,2018,2
01085,2019,2
01085,2020,1
01085,2021,2
01085,2022,1
01085,2023,3
01087,2018,3
01087,2019,2
01087,2020,1
01087,2021,5
01087,2022,2
01087,2023,3
01088,2018,2
01088,2019,2
01088,2020,5
01088,2021,3
01088,2022,5
01088,2023,5
01089,2018,11
01089,2019,10
01089,2020,9
01089,2021,12
01089,2022,15
01089,2023,17
01090,2018,3
01090,2019,2
01090,2020,5
01090,2021,2
01090,2022,3
01090,2023,1
01091,2018,13
01091,2019,1
01091,2021,2
01091,2022,2
01091,2023,1
01092,2018,7
01092,2019,8
01092,2020,9
01092,2021,7
01092,2022,8
01092,2023,9
01093,2018,75
01093,2019,107
01093,2020,137
01093,2021,83
01093,2022,89
01093,2023,87
01094,2018,5
01094,2019,11
01094,2020,12
01094,2021,7
01094,2022,7
01094,2023,4
01095,2018,10
01095,2019,2
01095,2020,4
01095,2021,5
01095,2022,8
01095,2023,2
01096,2018,6
01096,2019,7
01096,2020,6
01096,2021,7
01096,2022,4
01096,2023,3
01097,2018,3
01098,2018,9
01098,2019,12
01098,2020,4
01098,2021,11
01098,2022,14
01098,2023,10
01099,2018,11
01099,2019,8
01099,2020,14
01099,2021,12
01099,2022,12
01099,2023,11
01100,2018,1
01100,2020,4
01100,2021,2
01100,2022,3
01100,2023,3
01101,2018,1
01101,2019,4
01101,2020,1
01101,2021,1
01101,2022,2
01102,2018,9
01102,2019,6
01102,2020,7
01102,2021,4
01102,2022,6
01102,2023,6
01103,2018,7
01103,2019,2
01103,2020,4
01103,2021,5
01103,2022,3
01103,2023,7
01104,2018,3
01104,2019,6
01104,2020,3
01104,2021,3
01104,2022,3
01105,2018,5
01105,2019,4
01105,2020,8
01105,2021,7
01105,2022,10
01105,2023,8
01106,2020,2
01106,2021,3
01106,2023,3
01107,2019,1
01107,2020,2
01107,2022,1
01108,2018,29
01108,2019,32
01108,2020,41
01108,2021,26
01108,2022,31
01108,2023,40
01109,2018,8
01109,2019,8
01109,2020,6
01109,2021,9
01109,2022,2
01109,2023,6
01110,2018,2
01110,2019,3
01110,2020,1
01110,2021,1
01110,2022,1
01110,2023,1
01111,2020,2
01111,2021,1
01111,2022,1
01112,2018,1
01112,2019,1
01112,2020,3
01112,2021,2
01112,2022,2
01112,2023,1
01113,2018,5
01113,2019,5
01113,2020,6
01113,2021,5
01113,2022,1
01113,2023,8
01114,2018,15
01114,2019,20
01114,2020,32
01114,2021,9
01114,2022,13
01114,2023,21
01115,2018,3
01115,2019,5
01115,2020,5
01115,2021,6
01115,2022,8
